,rank
0,0.0004867760017138254
1,0.015832750752377073
2,0.0007506100958311792
3,0.0002579501856353697
4,0.004426461746937155
5,0.001402640823360909
6,0.0008386517742563083
7,0.000666931507673621
8,0.007828835588165778
9,0.2184260481603933
10,0.004360578166296378
11,-0.00017232988920054505
12,0.0242280006350658
